Period,MatchClock,Timestamp,EventType,TeamStrengthType,TeamStrength,HomeGoalieOnIce,AwayGoalieOnIce,EventPosition,EventStartCoordinate,EventEndCoordinate,EventPrimaryPlayerId,EventPrimaryPlayerName,EventPrimaryTeam,EventSecondaryPlayerId,EventSecondaryPlayerName,EventSecondaryTeam,FaceoffSpot,ShotResult,ShotSpeed,ShotScreeningPlayerIds,ShotXG,GoalAssist1Id,GoalAssist2Id,PassResult,PassSpeed,BluelineCrossingResult,BluelineCrossingDirection,BluelineCrossingAttackerIds,BluelineCrossingDefenderIds,DumpResult,DumpType,DumpAlongTheBoards,ClearType,ClearAlongTheBoards,PuckControlState,PuckControlStartZone,PuckControlEndZone,PuckControlContestingPlayerIds,StoppageOfPlayReason,PenaltyReason,ParticipatingPlayerIds,StartPlayerId1,StartPlayerId2,StartPlayerId3,StartPlayerId4,StartPlayerId5,StartPlayerId6,StartPlayerId7,StartPlayerId8,StartPlayerId9,StartPlayerId10,StartPlayerId11,StartPlayerId12,StartPlayerName1,StartPlayerName2,StartPlayerName3,StartPlayerName4,StartPlayerName5,StartPlayerName6,StartPlayerName7,StartPlayerName8,StartPlayerName9,StartPlayerName10,StartPlayerName11,StartPlayerName12,StartPlayerTeam1,StartPlayerTeam2,StartPlayerTeam3,StartPlayerTeam4,StartPlayerTeam5,StartPlayerTeam6,StartPlayerTeam7,StartPlayerTeam8,StartPlayerTeam9,StartPlayerTeam10,StartPlayerTeam11,StartPlayerTeam12,StartPlayerCoordinates1,StartPlayerCoordinates2,StartPlayerCoordinates3,StartPlayerCoordinates4,StartPlayerCoordinates5,StartPlayerCoordinates6,StartPlayerCoordinates7,StartPlayerCoordinates8,StartPlayerCoordinates9,StartPlayerCoordinates10,StartPlayerCoordinates11,StartPlayerCoordinates12,StartPlayerVelocity1,StartPlayerVelocity2,StartPlayerVelocity3,StartPlayerVelocity4,StartPlayerVelocity5,StartPlayerVelocity6,StartPlayerVelocity7,StartPlayerVelocity8,StartPlayerVelocity9,StartPlayerVelocity10,StartPlayerVelocity11,StartPlayerVelocity12,StartPlayerDirection1,StartPlayerDirection2,StartPlayerDirection3,StartPlayerDirection4,StartPlayerDirection5,StartPlayerDirection6,StartPlayerDirection7,StartPlayerDirection8,StartPlayerDirection9,StartPlayerDirection10,StartPlayerDirection11,StartPlayerDirection12
1,0,1703704509760,Faceoff,FullStrength,5v5,TRUE,TRUE,NeutralZone,,,888051768,#22 Linus Nässen,Away,888051768,#22 Linus Nässen,Away,Center,,,,,,,,,,,,,,,,,,,,,,,,888051768,888038532,888051768,329427,888048571,888052568,888052809,150983,337830,340162,308599,337835,332924,#1 Lars Johansson,#22 Linus Nässen,#7 Henrik Tömmernes,#12 Max Friberg,#88 Malte Strömwall,#6 Filip Hasa,#29 Sandro Aeschlimann,#44 Matej Stransky,#6 Klas Dahlbeck,#46 Dominik Egli,#40 Dennis Rasmussen,#25 Henrik Haapala,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,"26.1,0.3","0.2,-1","4.9,-3.9","0.2,-5.3","0.4,4.5","4.5,0.9","-24.6,-0.8","-0.1,-4.8","-4,1.8","-5.3,-6.1","-0.4,-0.4","-0.2,4.1",,,,,,,,,,,,,,,,,,,,,,,,
1,0,1703704509760,PuckControl,FullStrength,5v5,TRUE,TRUE,NeutralZone,"0.2,-1.4","1.3,-2.1",,,,,,,,,,,,,,,,,,,,,,,,,Contested,NeutralZone,NeutralZone,"337835,888051768",,,,888038532,888051768,329427,888048571,888052568,888052809,150983,337830,340162,308599,337835,332924,#1 Lars Johansson,#22 Linus Nässen,#7 Henrik Tömmernes,#12 Max Friberg,#88 Malte Strömwall,#6 Filip Hasa,#29 Sandro Aeschlimann,#44 Matej Stransky,#6 Klas Dahlbeck,#46 Dominik Egli,#40 Dennis Rasmussen,#25 Henrik Haapala,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,"26,0.2","0.1,-1.4","5.3,-4","0.1,-4.9","0.3,4.2","4.9,1.1","-24.7,-0.8","-0.2,-4.6","-4.4,2.2","-5.6,-6.4","-0.4,-0.8","-0.1,3.7",,,,,,,,,,,,,,,,,,,,,,,,
1,0,1703704510240,Pass,FullStrength,5v5,TRUE,TRUE,NeutralZone,"1.3,-2.1","4.1,-2.5",888051768,#22 Linus Nässen,Away,329427,#7 Henrik Tömmernes,Away,,,,,,,,Successful,2.5,,,,,,,,,,,,,,,,"888051768,329427",888038532,888051768,329427,888048571,888052568,888052809,150983,337830,340162,308599,337835,332924,#1 Lars Johansson,#22 Linus Nässen,#7 Henrik Tömmernes,#12 Max Friberg,#88 Malte Strömwall,#6 Filip Hasa,#29 Sandro Aeschlimann,#44 Matej Stransky,#6 Klas Dahlbeck,#46 Dominik Egli,#40 Dennis Rasmussen,#25 Henrik Haapala,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,"26.1,0.2","-0.2,-1.6","5.7,-4.3","-0.3,-4.5","0.1,3.6","5.6,1.6","-24.8,-0.8","-0.3,-4.4","-5.2,2.7","-5.9,-6.6","-0.4,-0.8","0,3.2",0.227,0.589,0.798,1.351,1.548,2.192,0.331,0.22,1.725,0.386,0.486,0.591,"0.883,0.469","-0.807,-0.591","0.504,-0.864","-0.984,0.177","-0.224,-0.975","0.863,0.505","-0.683,-0.73","0.832,0.554","-0.888,0.46","-0.923,-0.385","-0.86,0.509","0.394,-0.919"
1,0,1703704510240,PuckControl,FullStrength,5v5,TRUE,TRUE,NeutralZone,"1.3,-2.1","1.4,-2.1",888051768,#22 Linus Nässen,Away,,,,,,,,,,,,,,,,,,,,,,AwayControl,NeutralZone,NeutralZone,,,,888051768,888038532,888051768,329427,888048571,888052568,888052809,150983,337830,340162,308599,337835,332924,#1 Lars Johansson,#22 Linus Nässen,#7 Henrik Tömmernes,#12 Max Friberg,#88 Malte Strömwall,#6 Filip Hasa,#29 Sandro Aeschlimann,#44 Matej Stransky,#6 Klas Dahlbeck,#46 Dominik Egli,#40 Dennis Rasmussen,#25 Henrik Haapala,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,"26.1,0.2","-0.2,-1.6","5.7,-4.3","-0.3,-4.5","0.1,3.6","5.6,1.6","-24.8,-0.8","-0.3,-4.4","-5.2,2.7","-5.9,-6.6","-0.4,-0.8","0,3.2",,,,,,,,,,,,,,,,,,,,,,,,
1,0,1703704510260,PuckControl,FullStrength,5v5,TRUE,TRUE,NeutralZone,"1.4,-2.1","4.1,-2.5",,,,,,,,,,,,,,,,,,,,,,,,,AwayControl,NeutralZone,NeutralZone,,,,,888038532,888051768,329427,888048571,888052568,888052809,150983,337830,340162,308599,337835,332924,#1 Lars Johansson,#22 Linus Nässen,#7 Henrik Tömmernes,#12 Max Friberg,#88 Malte Strömwall,#6 Filip Hasa,#29 Sandro Aeschlimann,#44 Matej Stransky,#6 Klas Dahlbeck,#46 Dominik Egli,#40 Dennis Rasmussen,#25 Henrik Haapala,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,"26.1,0.2","-0.2,-1.6","5.7,-4.3","-0.3,-4.5","0.1,3.6","5.7,1.6","-24.8,-0.8","-0.3,-4.4","-5.2,2.7","-5.9,-6.6","-0.4,-0.8","0,3.2",,,,,,,,,,,,,,,,,,,,,,,,
1,1,1703704511320,PuckControl,FullStrength,5v5,TRUE,TRUE,NeutralZone,"4.1,-2.5","4.6,-2.4",329427,#7 Henrik Tömmernes,Away,,,,,,,,,,,,,,,,,,,,,,AwayControl,NeutralZone,NeutralZone,,,,329427,888038532,888051768,329427,888048571,888052568,888052809,150983,337830,340162,308599,337835,332924,#1 Lars Johansson,#22 Linus Nässen,#7 Henrik Tömmernes,#12 Max Friberg,#88 Malte Strömwall,#6 Filip Hasa,#29 Sandro Aeschlimann,#44 Matej Stransky,#6 Klas Dahlbeck,#46 Dominik Egli,#40 Dennis Rasmussen,#25 Henrik Haapala,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,"26.1,0.1","0,-0.9","5.9,-3.4","-2,-4","0.8,3.4","8.6,3.4","-25.3,-0.9","1.5,-4.3","-6.4,4","-5.9,-5.7","-0.5,0.1","0.8,4.5",,,,,,,,,,,,,,,,,,,,,,,,
1,1,1703704511420,Pass,FullStrength,5v5,TRUE,TRUE,NeutralZone,"4.5,-2.5","11,5.9",329427,#7 Henrik Tömmernes,Away,888052809,#6 Filip Hasa,Away,,,,,,,,Successful,12,,,,,,,,,,,,,,,,"329427,888052809",888038532,888051768,329427,888048571,888052568,888052809,150983,337830,340162,308599,337835,332924,#1 Lars Johansson,#22 Linus Nässen,#7 Henrik Tömmernes,#12 Max Friberg,#88 Malte Strömwall,#6 Filip Hasa,#29 Sandro Aeschlimann,#44 Matej Stransky,#6 Klas Dahlbeck,#46 Dominik Egli,#40 Dennis Rasmussen,#25 Henrik Haapala,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,"26,0.1","0.1,-0.7","6,-3.2","-2.2,-3.8","0.9,3.6","8.9,3.7","-25.3,-0.9","1.8,-4.2","-6.5,4.3","-5.9,-5.5","-0.5,0.2","0.9,4.7",0.13,2.279,2.344,2.081,2.802,4.377,0.708,2.163,2.299,1.621,1.669,2.104,"-0.84,-0.543","0.568,0.823","0.688,0.726","-0.689,0.725","0.438,0.899","0.665,0.747","-0.887,0.462","0.987,0.163","-0.222,0.975","0.062,0.998","0.31,0.951","0.443,0.896"
1,1,1703704511440,PuckControl,FullStrength,5v5,TRUE,TRUE,NeutralZone,"4.6,-2.4","11,5.9",,,,,,,,,,,,,,,,,,,,,,,,,AwayControl,NeutralZone,AwayTeamZone,,,,,888038532,888051768,329427,888048571,888052568,888052809,150983,337830,340162,308599,337835,332924,#1 Lars Johansson,#22 Linus Nässen,#7 Henrik Tömmernes,#12 Max Friberg,#88 Malte Strömwall,#6 Filip Hasa,#29 Sandro Aeschlimann,#44 Matej Stransky,#6 Klas Dahlbeck,#46 Dominik Egli,#40 Dennis Rasmussen,#25 Henrik Haapala,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,"26,0.1","0.1,-0.6","6.1,-3.1","-2.2,-3.8","1,3.7","9,3.8","-25.3,-0.9","1.8,-4.2","-6.5,4.3","-5.9,-5.5","-0.5,0.3","0.9,4.7",,,,,,,,,,,,,,,,,,,,,,,,
1,2,1703704511840,BluelineCrossing,FullStrength,5v5,TRUE,TRUE,NeutralZone,"7.1,1",,329427,#7 Henrik Tömmernes,Away,,,,,,,,,,,,,None,TowardsHome,,,,,,,,,,,,,,329427,888038532,888051768,329427,888048571,888052568,888052809,150983,337830,340162,308599,337835,332924,#1 Lars Johansson,#22 Linus Nässen,#7 Henrik Tömmernes,#12 Max Friberg,#88 Malte Strömwall,#6 Filip Hasa,#29 Sandro Aeschlimann,#44 Matej Stransky,#6 Klas Dahlbeck,#46 Dominik Egli,#40 Dennis Rasmussen,#25 Henrik Haapala,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,"26,0","0.8,0.1","7,-2.5","-2.8,-3.4","1.4,5","10.1,5.3","-25.6,-0.8","2.6,-3.9","-6.6,5.2","-5.9,-4.7","-0.5,0.7","1.2,5.8",0.287,2.711,3.277,1.829,4.21,5.005,0.808,2.102,2.021,2.034,1.036,3.629,"-0.682,-0.731","0.708,0.706","0.88,0.475","-0.892,0.453","0.166,0.986","0.534,0.846","-0.957,0.292","0.862,0.507","-0.042,0.999","-0.179,0.984","-0.286,0.958","0.135,0.991"
1,2,1703704512300,PuckControl,FullStrength,5v5,TRUE,TRUE,AwayTeamZone,"11,5.9","16.8,8.7",888052809,#6 Filip Hasa,Away,,,,,,,,,,,,,,,,,,,,,,AwayControl,AwayTeamZone,AwayTeamZone,,,,888052809,888038532,888051768,329427,888048571,888052568,888052809,150983,337830,340162,308599,337835,332924,#1 Lars Johansson,#22 Linus Nässen,#7 Henrik Tömmernes,#12 Max Friberg,#88 Malte Strömwall,#6 Filip Hasa,#29 Sandro Aeschlimann,#44 Matej Stransky,#6 Klas Dahlbeck,#46 Dominik Egli,#40 Dennis Rasmussen,#25 Henrik Haapala,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,"25.9,0","1.5,1.2","8.4,-1.9","-3.6,-2.9","1.4,7.1","11.3,7.2","-26,-0.6","3.3,-3.4","-6.6,6.2","-6.2,-3.7","-0.7,1.3","1.2,7.5",,,,,,,,,,,,,,,,,,,,,,,,
