Period,MatchClock,Timestamp,EventType,TeamStrengthType,TeamStrength,HomeGoalieOnIce,AwayGoalieOnIce,EventPosition,EventStartCoordinate,EventEndCoordinate,EventPrimaryPlayerId,EventPrimaryPlayerName,EventPrimaryTeam,EventSecondaryPlayerId,EventSecondaryPlayerName,EventSecondaryTeam,FaceoffSpot,ShotResult,ShotSpeed,ShotScreeningPlayerIds,ShotXG,GoalAssist1Id,GoalAssist2Id,PassResult,PassSpeed,BluelineCrossingResult,BluelineCrossingDirection,BluelineCrossingAttackerIds,BluelineCrossingDefenderIds,DumpResult,DumpType,DumpAlongTheBoards,ClearType,ClearAlongTheBoards,PuckControlState,PuckControlStartZone,PuckControlEndZone,PuckControlContestingPlayerIds,StoppageOfPlayReason,PenaltyReason,ParticipatingPlayerIds,StartPlayerId1,StartPlayerId2,StartPlayerId3,StartPlayerId4,StartPlayerId5,StartPlayerId6,StartPlayerId7,StartPlayerId8,StartPlayerId9,StartPlayerId10,StartPlayerId11,StartPlayerId12,StartPlayerName1,StartPlayerName2,StartPlayerName3,StartPlayerName4,StartPlayerName5,StartPlayerName6,StartPlayerName7,StartPlayerName8,StartPlayerName9,StartPlayerName10,StartPlayerName11,StartPlayerName12,StartPlayerTeam1,StartPlayerTeam2,StartPlayerTeam3,StartPlayerTeam4,StartPlayerTeam5,StartPlayerTeam6,StartPlayerTeam7,StartPlayerTeam8,StartPlayerTeam9,StartPlayerTeam10,StartPlayerTeam11,StartPlayerTeam12,StartPlayerCoordinates1,StartPlayerCoordinates2,StartPlayerCoordinates3,StartPlayerCoordinates4,StartPlayerCoordinates5,StartPlayerCoordinates6,StartPlayerCoordinates7,StartPlayerCoordinates8,StartPlayerCoordinates9,StartPlayerCoordinates10,StartPlayerCoordinates11,StartPlayerCoordinates12,StartPlayerVelocity1,StartPlayerVelocity2,StartPlayerVelocity3,StartPlayerVelocity4,StartPlayerVelocity5,StartPlayerVelocity6,StartPlayerVelocity7,StartPlayerVelocity8,StartPlayerVelocity9,StartPlayerVelocity10,StartPlayerVelocity11,StartPlayerVelocity12,StartPlayerDirection1,StartPlayerDirection2,StartPlayerDirection3,StartPlayerDirection4,StartPlayerDirection5,StartPlayerDirection6,StartPlayerDirection7,StartPlayerDirection8,StartPlayerDirection9,StartPlayerDirection10,StartPlayerDirection11,StartPlayerDirection12
1,0,1703790921820,Faceoff,FullStrength,5v5,TRUE,TRUE,NeutralZone,,,343628,#19 Corban Knight,Home,343628,#19 Corban Knight,Home,Center,,,,,,,,,,,,,,,,,,,,,,,,343628,304441,337830,340162,337835,308599,340161,888052816,888052818,343628,340122,888052819,325032,#91 Gilles Senn,#44 Matej Stransky,#6 Klas Dahlbeck,#40 Dennis Rasmussen,#46 Dominik Egli,#67 Leon Bristedt,#1 Thomas Milic,#3 Dillon Heatherington,#19 Corban Knight,#96 Daniel Audette,#24 Ty Smith,#4 Jonathan Hazen,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,"25,0.1","0.1,4.8","4.4,-4.2","0.1,0.5","6.4,1.1","0.1,-2.8","-25.1,0.1","-4.4,2.6","-0.6,1","-0.7,4.6","-4.8,-2.8","0,-2.8",,,,,,,,,,,,,,,,,,,,,,,,
1,0,1703790921820,PuckControl,FullStrength,5v5,TRUE,TRUE,NeutralZone,"-0.2,0.3","-2.3,-0.1",,,,,,,,,,,,,,,,,,,,,,,,,Contested,NeutralZone,NeutralZone,"343628,325032,337835",,,,304441,337830,340162,337835,308599,340161,888052816,888052818,343628,340122,888052819,325032,#91 Gilles Senn,#44 Matej Stransky,#6 Klas Dahlbeck,#40 Dennis Rasmussen,#46 Dominik Egli,#67 Leon Bristedt,#1 Thomas Milic,#3 Dillon Heatherington,#19 Corban Knight,#96 Daniel Audette,#24 Ty Smith,#4 Jonathan Hazen,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,"25,0.1","0.1,4.8","4.4,-4.2","0.1,0.5","6.4,1.1","0.1,-2.8","-25.1,0.1","-4.4,2.6","-0.6,1","-0.7,4.6","-4.8,-2.8","0,-2.8",,,,,,,,,,,,,,,,,,,,,,,,
1,0,1703790922380,PuckControl,FullStrength,5v5,TRUE,TRUE,NeutralZone,"-2.3,-0.1","-4.6,-0.8",,,,,,,,,,,,,,,,,,,,,,,,,Loose,NeutralZone,NeutralZone,,,,,304441,337830,340162,337835,308599,340161,888052816,888052818,343628,340122,888052819,325032,#91 Gilles Senn,#44 Matej Stransky,#6 Klas Dahlbeck,#40 Dennis Rasmussen,#46 Dominik Egli,#67 Leon Bristedt,#1 Thomas Milic,#3 Dillon Heatherington,#19 Corban Knight,#96 Daniel Audette,#24 Ty Smith,#4 Jonathan Hazen,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,"25,0.1","0.1,4.7","5.1,-4.8","-0.1,0.5","6.6,1.3","-0.3,-2.1","-24.9,0.1","-4.6,2.5","-0.5,1","-0.8,3.7","-5.2,-2.6","-0.8,-2.1",,,,,,,,,,,,,,,,,,,,,,,,
1,1,1703790923280,PuckControl,FullStrength,5v5,TRUE,TRUE,NeutralZone,"-4.6,-0.8","-12.9,-3.6",888052819,#24 Ty Smith,Home,,,,,,,,,,,,,,,,,,,,,,HomeControl,NeutralZone,AwayTeamZone,,,,888052819,304441,337830,340162,337835,308599,340161,888052816,888052818,343628,340122,888052819,325032,#91 Gilles Senn,#44 Matej Stransky,#6 Klas Dahlbeck,#40 Dennis Rasmussen,#46 Dominik Egli,#67 Leon Bristedt,#1 Thomas Milic,#3 Dillon Heatherington,#19 Corban Knight,#96 Daniel Audette,#24 Ty Smith,#4 Jonathan Hazen,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,"24.8,0.3","-0.3,4.9","5.6,-5.4","0.1,0.1","6.9,2","-1.5,-2.8","-25.2,0","-6.7,2.6","-0.4,0.6","-2,3","-6.5,-2","-2.1,-1.5",,,,,,,,,,,,,,,,,,,,,,,,
1,1,1703790923860,BluelineCrossing,FullStrength,5v5,TRUE,TRUE,NeutralZone,"-7.1,-1.5",,888052819,#24 Ty Smith,Home,,,,,,,,,,,,,None,TowardsHome,,,,,,,,,,,,,,888052819,304441,337830,340162,337835,308599,340161,888052816,888052818,343628,340122,888052819,325032,#91 Gilles Senn,#44 Matej Stransky,#6 Klas Dahlbeck,#40 Dennis Rasmussen,#46 Dominik Egli,#67 Leon Bristedt,#1 Thomas Milic,#3 Dillon Heatherington,#19 Corban Knight,#96 Daniel Audette,#24 Ty Smith,#4 Jonathan Hazen,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,"25,0.4","-1.2,5","5.4,-5.5","0.5,0","6.1,2.6","-2.9,-4.3","-25.3,0","-8.9,2.8","-0.1,-0.2","-3.4,4.7","-7.9,-1.8","-2.9,-2.7",0.699,2.099,0.698,0.735,1.545,3.847,0.217,4.115,2.345,5.693,3.202,3.07,"0.987,-0.162","-1,0.001","-0.739,-0.674","0.992,-0.126","-0.919,0.394","-0.763,-0.647","-0.934,0.358","-0.953,0.302","0.371,-0.928","-0.275,0.961","-0.958,-0.287","-0.408,-0.913"
1,3,1703790925240,Pass,FullStrength,5v5,TRUE,TRUE,HomeTeamZone,"-12.8,-3.5","-14.7,6.9",888052819,#24 Ty Smith,Home,888052818,#3 Dillon Heatherington,Home,,,,,,,,Successful,13.9,,,,,,,,,,,,,,,,"888052819,888052818",304441,337830,340162,337835,308599,340161,888052816,888052818,343628,340122,888052819,325032,#91 Gilles Senn,#44 Matej Stransky,#6 Klas Dahlbeck,#40 Dennis Rasmussen,#46 Dominik Egli,#67 Leon Bristedt,#1 Thomas Milic,#3 Dillon Heatherington,#19 Corban Knight,#96 Daniel Audette,#24 Ty Smith,#4 Jonathan Hazen,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,"25.6,0.3","-1.7,7.6","4.4,-7.5","1.1,-2.4","5.3,3.7","-8.7,-5.2","-26.1,-0.3","-13.7,5.9","0.1,-5","-1,11.6","-12.4,-4.5","-3.4,-8.5",0.166,2.401,2.556,3.21,1.121,5.888,0.889,3.818,1.669,5.111,4.014,4.287,"0.889,-0.457","0.337,0.941","0.049,-0.999","0.036,-0.999","0.508,0.861","-0.81,0.586","-0.894,-0.449","-0.755,0.656","-0.878,-0.478","0.605,0.796","-0.96,-0.279","0.275,-0.961"
1,3,1703790925260,PuckControl,FullStrength,5v5,TRUE,TRUE,HomeTeamZone,"-12.9,-3.6","-14.7,6.9",,,,,,,,,,,,,,,,,,,,,,,,,HomeControl,AwayTeamZone,AwayTeamZone,,,,,304441,337830,340162,337835,308599,340161,888052816,888052818,343628,340122,888052819,325032,#91 Gilles Senn,#44 Matej Stransky,#6 Klas Dahlbeck,#40 Dennis Rasmussen,#46 Dominik Egli,#67 Leon Bristedt,#1 Thomas Milic,#3 Dillon Heatherington,#19 Corban Knight,#96 Daniel Audette,#24 Ty Smith,#4 Jonathan Hazen,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,"25.6,0.3","-1.7,7.7","4.4,-7.6","1.1,-2.5","5.3,3.7","-8.8,-5.2","-26.1,-0.3","-13.7,5.9","0,-5","-0.9,11.7","-12.5,-4.5","-3.4,-8.6",,,,,,,,,,,,,,,,,,,,,,,,
1,4,1703790926000,PuckControl,FullStrength,5v5,TRUE,TRUE,HomeTeamZone,"-14.7,6.9","-11.7,11.3",888052818,#3 Dillon Heatherington,Home,,,,,,,,,,,,,,,,,,,,,,HomeControl,AwayTeamZone,AwayTeamZone,,,,888052818,304441,337830,340162,337835,308599,340161,888052816,888052818,343628,340122,888052819,325032,#91 Gilles Senn,#44 Matej Stransky,#6 Klas Dahlbeck,#40 Dennis Rasmussen,#46 Dominik Egli,#67 Leon Bristedt,#1 Thomas Milic,#3 Dillon Heatherington,#19 Corban Knight,#96 Daniel Audette,#24 Ty Smith,#4 Jonathan Hazen,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,"25.9,0.4","-0.8,8.7","4.7,-9.1","0,-3.2","5.9,5.3","-11.3,-1.1","-26.2,-0.1","-15,8.1","-1.6,-3.6","1.6,14","-15.4,-4.4","-2,-10.6",,,,,,,,,,,,,,,,,,,,,,,,
1,5,1703790927160,Pass,FullStrength,5v5,TRUE,TRUE,HomeTeamZone,"-11.6,11.4","-16.8,5.9",888052818,#3 Dillon Heatherington,Home,888052819,#24 Ty Smith,Home,,,,,,,,Successful,8.2,,,,,,,,,,,,,,,,"888052818,888052819",304441,337830,340162,337835,308599,340161,888052816,888052818,343628,340122,888052819,325032,#91 Gilles Senn,#44 Matej Stransky,#6 Klas Dahlbeck,#40 Dennis Rasmussen,#46 Dominik Egli,#67 Leon Bristedt,#1 Thomas Milic,#3 Dillon Heatherington,#19 Corban Knight,#96 Daniel Audette,#24 Ty Smith,#4 Jonathan Hazen,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,"26,0.2","-0.8,11.3","5.3,-10.1","0,1.3","6.7,9.8","-10.5,7.4","-25.9,0.3","-12.1,11.6","-1.2,1.9","4.9,15","-18.4,-0.7","2.1,-12.3",0.416,2.177,0.922,4.864,4.133,7.86,0.288,4.741,6.018,1.294,4.681,4.148,"-0.274,0.962","-0.432,0.902","0.489,-0.872","0.394,0.919","0.042,0.999","0.347,0.938","-0.821,-0.571","0.8,0.6","0.331,0.943","0.896,0.445","-0.109,0.994","1,-0.004"
1,5,1703790927180,PuckControl,FullStrength,5v5,TRUE,TRUE,HomeTeamZone,"-11.7,11.3","-16.8,5.9",,,,,,,,,,,,,,,,,,,,,,,,,HomeControl,AwayTeamZone,AwayTeamZone,,,,,304441,337830,340162,337835,308599,340161,888052816,888052818,343628,340122,888052819,325032,#91 Gilles Senn,#44 Matej Stransky,#6 Klas Dahlbeck,#40 Dennis Rasmussen,#46 Dominik Egli,#67 Leon Bristedt,#1 Thomas Milic,#3 Dillon Heatherington,#19 Corban Knight,#96 Daniel Audette,#24 Ty Smith,#4 Jonathan Hazen,Away,Away,Away,Away,Away,Away,Home,Home,Home,Home,Home,Home,"26,0.3","-0.8,11.3","5.3,-10.1","0,1.4","6.7,9.9","-10.4,7.5","-25.9,0.3","-12,11.6","-1.2,2.1","4.9,15","-18.4,-0.6","2.1,-12.3",,,,,,,,,,,,,,,,,,,,,,,,
