Period,MatchClock,Timestamp,EventType,TeamStrengthType,TeamStrength,HomeGoalieOnIce,AwayGoalieOnIce,EventPosition,EventStartCoordinate,EventEndCoordinate,EventPrimaryPlayerId,EventPrimaryPlayerName,EventPrimaryTeam,EventSecondaryPlayerId,EventSecondaryPlayerName,EventSecondaryTeam,FaceoffSpot,ShotResult,ShotSpeed,ShotScreeningPlayerIds,ShotXG,GoalAssist1Id,GoalAssist2Id,PassResult,PassSpeed,BluelineCrossingResult,BluelineCrossingDirection,BluelineCrossingAttackerIds,BluelineCrossingDefenderIds,DumpResult,DumpType,DumpAlongTheBoards,ClearType,ClearAlongTheBoards,PuckControlState,PuckControlStartZone,PuckControlEndZone,PuckControlContestingPlayerIds,StoppageOfPlayReason,PenaltyReason,ParticipatingPlayerIds,StartPlayerId1,StartPlayerId2,StartPlayerId3,StartPlayerId4,StartPlayerId5,StartPlayerId6,StartPlayerId7,StartPlayerId8,StartPlayerId9,StartPlayerId10,StartPlayerId11,StartPlayerId12,StartPlayerName1,StartPlayerName2,StartPlayerName3,StartPlayerName4,StartPlayerName5,StartPlayerName6,StartPlayerName7,StartPlayerName8,StartPlayerName9,StartPlayerName10,StartPlayerName11,StartPlayerName12,StartPlayerTeam1,StartPlayerTeam2,StartPlayerTeam3,StartPlayerTeam4,StartPlayerTeam5,StartPlayerTeam6,StartPlayerTeam7,StartPlayerTeam8,StartPlayerTeam9,StartPlayerTeam10,StartPlayerTeam11,StartPlayerTeam12,StartPlayerCoordinates1,StartPlayerCoordinates2,StartPlayerCoordinates3,StartPlayerCoordinates4,StartPlayerCoordinates5,StartPlayerCoordinates6,StartPlayerCoordinates7,StartPlayerCoordinates8,StartPlayerCoordinates9,StartPlayerCoordinates10,StartPlayerCoordinates11,StartPlayerCoordinates12,StartPlayerVelocity1,StartPlayerVelocity2,StartPlayerVelocity3,StartPlayerVelocity4,StartPlayerVelocity5,StartPlayerVelocity6,StartPlayerVelocity7,StartPlayerVelocity8,StartPlayerVelocity9,StartPlayerVelocity10,StartPlayerVelocity11,StartPlayerVelocity12,StartPlayerDirection1,StartPlayerDirection2,StartPlayerDirection3,StartPlayerDirection4,StartPlayerDirection5,StartPlayerDirection6,StartPlayerDirection7,StartPlayerDirection8,StartPlayerDirection9,StartPlayerDirection10,StartPlayerDirection11,StartPlayerDirection12
1,0,1708857103760,Faceoff,FullStrength,5v5,TRUE,TRUE,NeutralZone,,,342920,#7 Katherine Sonntag,Home,342920,#7 Katherine Sonntag,Home,Center,,,,,,,,,,,,,,,,,,,,,,,,342920,342920,342921,318039,307660,308069,314754,320196,334363,322349,343040,343474,318063,#7 Katherine Sonntag,#28 Leah Marino,#82 Nora Daneel,#18 Stefanie Wetli,#4 Nadja Minder,#87 Fiona Stehrenberger,#24 Valérie Christmann,#10 Viktoria Maskalova,#3 Aiyana Vuillemin,#8 Megan Cornell,#94 Samantha Gius,#1 Jessica Streicher,Home,Home,Home,Home,Away,Away,Home,Away,Away,Away,Away,Home,"-0.3,0.3","-0.8,2.7","-3.7,2","-4.4,-4.2","5.8,2.3","25.6,0.8","0.5,-4.6","-0.3,3.5","0.1,-4.8","5,-4.1","0.5,1.1","-24.6,-0.8",,,,,,,,,,,,,,,,,,,,,,,,
1,0,1708857103760,PuckControl,FullStrength,5v5,TRUE,TRUE,NeutralZone,"-0.1,-0.3","-3.1,2.2",,,,,,,,,,,,,,,,,,,,,,,,,Contested,NeutralZone,NeutralZone,"342920,342921,318039,343474,334363",,,,342920,342921,318039,307660,308069,314754,320196,334363,322349,343040,343474,318063,#7 Katherine Sonntag,#28 Leah Marino,#82 Nora Daneel,#18 Stefanie Wetli,#4 Nadja Minder,#87 Fiona Stehrenberger,#24 Valérie Christmann,#10 Viktoria Maskalova,#3 Aiyana Vuillemin,#8 Megan Cornell,#94 Samantha Gius,#1 Jessica Streicher,Home,Home,Home,Home,Away,Away,Home,Away,Away,Away,Away,Home,"-0.3,0.2","-0.9,2.5","-3.7,2.1","-4.7,-4.1","6,2.3","25.6,0.9","0.5,-4.4","-0.3,3.1","0.2,-4.9","5.1,-4.2","0.5,1.3","-24.7,-0.9",,,,,,,,,,,,,,,,,,,,,,,,
1,0,1708857104540,PuckControl,FullStrength,5v5,TRUE,TRUE,NeutralZone,"-3.1,2.2","-6,4.6",318039,#82 Nora Daneel,Home,,,,,,,,,,,,,,,,,,,,,,HomeControl,NeutralZone,NeutralZone,,,,318039,342920,342921,318039,307660,308069,314754,320196,334363,322349,343040,343474,318063,#7 Katherine Sonntag,#28 Leah Marino,#82 Nora Daneel,#18 Stefanie Wetli,#4 Nadja Minder,#87 Fiona Stehrenberger,#24 Valérie Christmann,#10 Viktoria Maskalova,#3 Aiyana Vuillemin,#8 Megan Cornell,#94 Samantha Gius,#1 Jessica Streicher,Home,Home,Home,Home,Away,Away,Home,Away,Away,Away,Away,Home,"-0.7,0.2","-1.8,1.1","-5,2.7","-5.5,-4.3","6.3,3.1","25.5,0.6","0.2,-3.6","-0.5,2","0.2,-4.9","5.5,-3.3","0.2,1.5","-24.8,-0.9",,,,,,,,,,,,,,,,,,,,,,,,
1,1,1708857105420,Pass,FullStrength,5v5,TRUE,TRUE,NeutralZone,"-6,4.7","-11.4,-4.1",318039,#82 Nora Daneel,Home,307660,#18 Stefanie Wetli,Home,,,,,,,,Successful,10.6,,,,,,,,,,,,,,,,"318039,307660",342920,342921,318039,307660,308069,314754,320196,334363,322349,343040,343474,318063,#7 Katherine Sonntag,#28 Leah Marino,#82 Nora Daneel,#18 Stefanie Wetli,#4 Nadja Minder,#87 Fiona Stehrenberger,#24 Valérie Christmann,#10 Viktoria Maskalova,#3 Aiyana Vuillemin,#8 Megan Cornell,#94 Samantha Gius,#1 Jessica Streicher,Home,Home,Home,Home,Away,Away,Home,Away,Away,Away,Away,Home,"-2.3,-0.6","-4,3.5","-6.2,3.8","-7.5,-4.8","6.5,5.1","25.5,0.5","-1.9,-5","-1.9,4.6","-0.7,-5.5","5.8,-3.3","-1.4,2.1","-24.7,-0.3",2.286,5.172,1.274,3.166,2.809,0.246,3.802,4.179,2.863,1.297,2.022,0.959,"-1,-0.028","-0.459,0.888","-0.914,0.406","-0.967,-0.254","-0.053,0.999","0.803,0.597","-0.789,-0.614","-0.379,0.925","-0.67,-0.742","0.09,-0.996","-0.973,0.231","-0.18,0.984"
1,1,1708857105440,PuckControl,FullStrength,5v5,TRUE,TRUE,NeutralZone,"-6,4.6","-11.4,-4.1",,,,,,,,,,,,,,,,,,,,,,,,,HomeControl,NeutralZone,HomeTeamZone,,,,,342920,342921,318039,307660,308069,314754,320196,334363,322349,343040,343474,318063,#7 Katherine Sonntag,#28 Leah Marino,#82 Nora Daneel,#18 Stefanie Wetli,#4 Nadja Minder,#87 Fiona Stehrenberger,#24 Valérie Christmann,#10 Viktoria Maskalova,#3 Aiyana Vuillemin,#8 Megan Cornell,#94 Samantha Gius,#1 Jessica Streicher,Home,Home,Home,Home,Away,Away,Home,Away,Away,Away,Away,Home,"-2.3,-0.6","-4,3.6","-6.2,3.8","-7.6,-4.8","6.5,5.1","25.5,0.5","-1.9,-5.1","-1.9,4.7","-0.7,-5.5","5.8,-3.4","-1.4,2.1","-24.8,-0.3",,,,,,,,,,,,,,,,,,,,,,,,
1,1,1708857105680,BluelineCrossing,FullStrength,5v5,TRUE,TRUE,NeutralZone,"-7.2,3.3",,318039,#82 Nora Daneel,Home,,,,,,,,,,,,,None,TowardsHome,,,,,,,,,,,,,,318039,342920,342921,318039,307660,308069,314754,320196,334363,322349,343040,343474,318063,#7 Katherine Sonntag,#28 Leah Marino,#82 Nora Daneel,#18 Stefanie Wetli,#4 Nadja Minder,#87 Fiona Stehrenberger,#24 Valérie Christmann,#10 Viktoria Maskalova,#3 Aiyana Vuillemin,#8 Megan Cornell,#94 Samantha Gius,#1 Jessica Streicher,Home,Home,Home,Home,Away,Away,Home,Away,Away,Away,Away,Home,"-2.9,-0.5","-4.6,4.7","-6.6,3.9","-8.4,-5","6.3,5.8","25.5,0.5","-2.7,-5.6","-2.3,5.5","-1.2,-6.1","5.7,-3.7","-1.9,2.1","-24.8,-0.2",3.001,4.49,2.106,3.582,3.044,0.288,4.237,3.057,2.885,1.509,2.47,0.351,"-0.969,0.247","-0.467,0.884","-0.966,0.259","-0.993,-0.118","-0.358,0.934","0.108,0.994","-0.82,-0.573","-0.432,0.902","-0.553,-0.833","-0.571,-0.821","-0.999,-0.053","-0.981,0.196"
1,2,1708857106400,PuckControl,FullStrength,5v5,TRUE,TRUE,HomeTeamZone,"-11.4,-4.1","-1.6,-3.7",307660,#18 Stefanie Wetli,Home,,,,,,,,,,,,,,,,,,,,,,HomeControl,HomeTeamZone,NeutralZone,,,,307660,342920,342921,318039,307660,308069,314754,320196,334363,322349,343040,343474,318063,#7 Katherine Sonntag,#28 Leah Marino,#82 Nora Daneel,#18 Stefanie Wetli,#4 Nadja Minder,#87 Fiona Stehrenberger,#24 Valérie Christmann,#10 Viktoria Maskalova,#3 Aiyana Vuillemin,#8 Megan Cornell,#94 Samantha Gius,#1 Jessica Streicher,Home,Home,Home,Home,Away,Away,Home,Away,Away,Away,Away,Home,"-5.2,-0.7","-6,6.6","-8.9,4","-10.9,-5.7","5.2,7.4","25.6,0.3","-4.7,-7.8","-3.5,6.4","-2.4,-8.1","4.8,-4.1","-4.1,0.8","-25.2,-0.5",,,,,,,,,,,,,,,,,,,,,,,,
1,4,1708857108640,BluelineCrossing,FullStrength,5v5,TRUE,TRUE,NeutralZone,"-7.2,-12.9",,307660,#18 Stefanie Wetli,Home,,,,,,,,,,,,,PossessionMaintained,TowardsOpponent,,,,,,,,,,,,,,307660,342920,342921,318039,307660,308069,314754,320196,334363,322349,343040,343474,318063,#7 Katherine Sonntag,#28 Leah Marino,#82 Nora Daneel,#18 Stefanie Wetli,#4 Nadja Minder,#87 Fiona Stehrenberger,#24 Valérie Christmann,#10 Viktoria Maskalova,#3 Aiyana Vuillemin,#8 Megan Cornell,#94 Samantha Gius,#1 Jessica Streicher,Home,Home,Home,Home,Away,Away,Home,Away,Away,Away,Away,Home,"-4.1,-8.9","-7.1,3.3","-13.8,-2.6","-7.9,-14.2","5.4,0.8","25.6,-0.4","-0.9,-14.2","-1.7,1","1.1,-12.6","5.8,-8.8","-4.2,-10.2","-25.3,-1.4",5.124,3.764,4.6,4.848,4.139,0.548,2.794,4.524,3.059,2.908,5.503,0.68,"0.72,-0.694","0.9,-0.437","0.453,-0.892","1,-0.01","0.624,-0.781","-0.619,-0.785","0.962,-0.274","0.836,-0.548","0.988,0.156","0.706,-0.709","0.762,-0.647","0.972,0.236"
1,6,1708857110740,Pass,FullStrength,5v5,TRUE,TRUE,NeutralZone,"-1.6,-3.8","5.1,9.6",307660,#18 Stefanie Wetli,Home,342921,#28 Leah Marino,Home,,,,,,,,Successful,16.6,,,,,,,,,,,,,,,,"307660,342921",342920,342921,318039,307660,308069,314754,320196,334363,322349,343040,343474,318063,#7 Katherine Sonntag,#28 Leah Marino,#82 Nora Daneel,#18 Stefanie Wetli,#4 Nadja Minder,#87 Fiona Stehrenberger,#24 Valérie Christmann,#10 Viktoria Maskalova,#3 Aiyana Vuillemin,#8 Megan Cornell,#94 Samantha Gius,#1 Jessica Streicher,Home,Home,Home,Home,Away,Away,Home,Away,Away,Away,Away,Home,"3.8,-8.9","0.5,7.3","-6.2,0","-0.5,-4.5","11.8,0.1","23.7,-0.1","3.5,-11.3","4.9,1.6","4.3,-7.2","9.2,-6","4.3,-5.6","-25,-1.1",5.486,4.964,5.186,7.386,3.909,0.788,3.663,4.383,4.072,4.151,6.497,0.352,"0.491,0.871","0.801,0.599","0.496,0.868","0.368,0.93","0.552,0.834","-0.81,0.586","0.449,0.894","0.569,0.822","0.054,0.999","0.074,0.997","0.105,0.995","-0.456,-0.89"
1,6,1708857110760,PuckControl,FullStrength,5v5,TRUE,TRUE,NeutralZone,"-1.6,-3.7","5.1,9.6",,,,,,,,,,,,,,,,,,,,,,,,,HomeControl,NeutralZone,NeutralZone,,,,,342920,342921,318039,307660,308069,314754,320196,334363,322349,343040,343474,318063,#7 Katherine Sonntag,#28 Leah Marino,#82 Nora Daneel,#18 Stefanie Wetli,#4 Nadja Minder,#87 Fiona Stehrenberger,#24 Valérie Christmann,#10 Viktoria Maskalova,#3 Aiyana Vuillemin,#8 Megan Cornell,#94 Samantha Gius,#1 Jessica Streicher,Home,Home,Home,Home,Away,Away,Home,Away,Away,Away,Away,Home,"3.9,-8.8","0.6,7.3","-6.2,0","-0.5,-4.4","11.9,0.1","23.7,-0.1","3.5,-11.3","4.9,1.6","4.3,-7.1","9.2,-6","4.4,-5.5","-25,-1.1",,,,,,,,,,,,,,,,,,,,,,,,
